energy,intensity,InitialState,FinalState,alpha,Hf,gamma
242.00,7.251,295.223_214BI,53.228_214BI,0.838,5.000e-11,1
247.20,0.0,2694.620_214PO,2447.702_214PO,0,0.000,1
252.80,0.003,2017.309_214PO,1764.515_214PO,0.809,0.000,1
255.16,0.0,2447.702_214PO,2192.537_214PO,0,0.000,1
258.86,0.531,258.870_214BI,0.000_214BI,0.696,0.000,1
262.27,0.005,448.370_222RN,186.211_222RN,0.212,0.000,1
268.80,0.017,1543.372_214PO,1274.766_214PO,0.0405,0.000,1
273.80,0.128,2482.468_214PO,2208.690_214PO,0,0.000,1
274.80,0.355,533.676_214BI,258.870_214BI,0.48,0.000,1
280.60,0.0,3000.000_214PO,2719.270_214PO,0,0.000,1
280.97,0.067,2728.609_214PO,2447.702_214PO,0,0.000,1
282.00,0.0,2826.980_214PO,2544.960_214PO,0,0.000,1
295.22,18.42,295.223_214BI,0.000_214BI,0.46,5.000e-11,1
297.81,0.0,2010.830_214PO,1712.970_214PO,0,0.000,1
298.00,0.0001,1097.700_210PB,799.700_210PB,0.1194,0.000,1
298.76,0.026,351.932_214BI,53.228_214BI,0.3,1.000e-10,1
304.20,0.038,1847.443_214PO,1543.372_214PO,0.3,0.000,1
304.20,0.038,2508.170_214PO,2204.089_214PO,0,0.000,1
305.26,0.0312,839.009_214BI,533.676_214BI,0.0292,0.000,1
313.66,0.0617,1997.730_206PB,1684.040_206PB,0.24,0.000,1
314.33,0.078,377.040_214BI,62.690_214BI,0,0.000,1
314.90,0.0,3014.110_214PO,2698.760_214PO,0,0.000,1
323.84,0.029,377.040_214BI,53.228_214BI,0,0.000,1
333.37,0.065,1994.640_214PO,1661.279_214PO,0.0247,0.000,1
334.78,0.037,2423.230_214PO,2088.440_214PO,0,0.000,1
334.78,0.037,2482.468_214PO,2147.830_214PO,0,0.000,1
343.51,28.42,1684.040_206PB,1340.540_206PB,0.297,0.000,1
348.92,0.104,1764.515_214PO,1415.495_214PO,0.335,0.000,1
351.90,0.07,1729.609_214PO,1377.678_214PO,0.2,0.000,1
351.93,35.6,351.932_214BI,0.000_214BI,0.3,1.000e-10,1
356.00,0.007,2017.309_214PO,1661.279_214PO,0.077,0.000,1
386.78,0.2951,1764.515_214PO,1377.678_214PO,0.16,0.000,1
388.89,0.4021,2118.533_214PO,1729.609_214PO,0.25,0.000,1
394.05,0.0126,2482.468_214PO,2088.440_214PO,0,0.000,1
396.02,0.026,2604.680_214PO,2208.690_214PO,0,0.000,1
405.72,0.169,1015.039_214PO,609.316_214PO,0.0541,0.000,1
414.60,0.0003,600.660_222RN,186.211_222RN,0.0164,0.000,1
422.00,0.0,2869.600_214PO,2447.702_214PO,0,0.000,1
428.07,0.0011,2192.537_214PO,1764.515_214PO,0.12,0.000,1
449.37,0.0002,635.470_222RN,186.211_222RN,0.0138,0.000,1
452.92,0.03,2447.702_214PO,1994.640_214PO,0.1,0.000,1
454.79,0.2921,1729.609_214PO,1274.766_214PO,0.01251,0.000,1
461.08,0.051,2204.089_214PO,1742.980_214PO,0.1581,0.000,1
462.02,0.212,839.009_214BI,377.040_214BI,0,0.000,1
469.77,0.132,1847.443_214PO,1377.678_214PO,0.09,0.000,1
474.44,0.099,2204.089_214PO,1729.609_214PO,0.09,0.000,1
480.43,0.337,533.676_214BI,53.228_214BI,0,0.000,1
485.92,0.022,2694.620_214PO,2208.690_214PO,0,0.000,1
486.70,0.006,2147.830_214PO,1661.279_214PO,0,0.000,1
487.14,0.432,839.009_214BI,351.932_214BI,0.01046,0.000,1
487.95,0.028,2482.468_214PO,1994.640_214PO,0.0108,0.000,1
494.20,0.0104,2698.760_214PO,2204.089_214PO,0,0.000,1
496.90,0.0068,2508.170_214PO,2010.830_214PO,0,0.000,1
501.99,0.018,2266.410_214PO,1764.515_214PO,0,0.000,1
